i,x,y,u_avg,rank,pct_rank
3022,0.195143251688036,0.458093782338651,0.131475265325308,1057,0.303889255108767
2963,0.195143251688036,0.45719374189054,0.131025245101252,1058,0.30323005932762
1345,0.373767670256912,0.635788388653932,0.13101035919851,1059,0.302570863546473
630,0.508756623917563,0.76974413015595,0.130493753119194,1060,0.301911667765326
3021,0.182794941680978,0.443569137829626,0.130387098074324,1061,0.301252471984179
3542,0.135848339557978,0.396603355983521,0.130377508212771,1062,0.300593276203032
1553,0.228440089310822,0.488883664814192,0.130221787751685,1063,0.299934080421885
2430,0.144669035677265,0.404884841119309,0.130107902721022,1064,0.299274884640738
2787,0.183175226075448,0.443330859927193,0.130077816925873,1065,0.298615688859591
3080,0.195143251688036,0.455271663817916,0.13006420606494,1066,0.297956493078444
2967,0.271933169378622,0.531909946287415,0.129988388454396,1067,0.297297297297297
2264,0.373570724567099,0.63313499840625,0.129782136919576,1068,0.29663810151615
631,0.504129808042902,0.763455560806578,0.129662876381838,1069,0.295978905735003
2318,0.219344807532925,0.477458400025982,0.129056796246528,1070,0.295319709953856
2673,0.250204240758709,0.508201292204438,0.128998525722864,1071,0.294660514172709
809,0.429586524554754,0.686593443494807,0.128503459470026,1072,0.294001318391562
3424,0.0965416773114754,0.353499980628018,0.128479151658271,1073,0.293342122610415
1224,0.407317679920572,0.664099219524055,0.128390769801741,1074,0.292682926829268
2378,0.239505129158012,0.495870262503787,0.128182566672888,1075,0.292023731048121
2437,0.239505129158012,0.495612628927118,0.128053749884553,1076,0.291364535266974
689,0.494124929796304,0.750059960906325,0.12796751555501,1077,0.290705339485827
2377,0.217580267229665,0.473331202461137,0.127875467615736,1078,0.29004614370468
2494,0.184444140087339,0.438908532652153,0.127232196282407,1079,0.289386947923533
2496,0.239505129158012,0.493886217699837,0.127190544270913,1080,0.288727752142386
3660,0.123177182332156,0.377158624039008,0.126990720853426,1081,0.288068556361239
810,0.407721000526104,0.661327897704613,0.126803448589254,1082,0.287409360580092
2672,0.225245924515211,0.478132828655798,0.126443452070294,1083,0.286750164798945
2957,0.140469290315542,0.392407038597928,0.125968874141193,1084,0.286090969017799
2908,0.271933169378622,0.521437560023146,0.124752195322262,1085,0.285431773236652
2201,0.225805349719796,0.474507087631155,0.124350868955679,1086,0.284772577455505
1105,0.411679386147311,0.660305799283052,0.124313206567871,1087,0.284113381674358
569,0.497956416727199,0.743925550880262,0.122984567076532,1088,0.283454185893211
927,0.41984063523559,0.665749830688619,0.122954597726515,1089,0.282794990112064
1086,0.251665467923,0.497573429052539,0.122953980564769,1090,0.282135794330917
633,0.491781498035844,0.737590982401369,0.122904742182763,1091,0.28147659854977
2899,0.140469290315542,0.385166878050379,0.122348793867418,1092,0.280817402768623
3248,0.0811366954696959,0.324886450627716,0.12187487757901,1093,0.280158206987476
632,0.504129808042902,0.747388101021805,0.121629146489451,1094,0.279499011206329
3838,0.0835082545017393,0.325628564845495,0.121060155171878,1095,0.278839815425182
3074,0.119929314526503,0.362016148740547,0.121043417107022,1096,0.278180619644035
1845,0.183708426034365,0.425633831848749,0.120962702907192,1097,0.277521423862888
3898,0.0443555164391947,0.285496218402399,0.120570350981602,1098,0.276862228081741
3025,0.271933169378622,0.512617268541074,0.120342049581226,1099,0.276203032300594
1046,0.407813306211942,0.647803578892038,0.119995136340048,1100,0.275543836519447
516,0.488349500412112,0.728173374363143,0.119911936975515,1101,0.2748846407383
1285,0.394969369913515,0.634476770719178,0.119753700402832,1102,0.274225444957153
3142,0.273105171823268,0.512238171038244,0.119566499607488,1103,0.273566249176006
2849,0.271933169378622,0.510583440380622,0.119325135501,1104,0.272907053394859
869,0.407986110174026,0.645378687894678,0.118696288860326,1105,0.272247857613712
1728,0.223305095363562,0.460345411142336,0.118520157889387,1106,0.271588661832565
2555,0.257381436438381,0.494039478161557,0.118329020861588,1107,0.270929466051418
1143,0.251079466700677,0.487508163649191,0.118214348474257,1108,0.270270270270271
1165,0.413721587879723,0.649220519280204,0.11774946570024,1109,0.269611074489124
1203,0.269459140268056,0.504464290519803,0.117502575125874,1110,0.268951878707977
3601,0.133310511534197,0.368080525281047,0.117385006873425,1111,0.26829268292683
795,0.369926875350166,0.604597606945559,0.117335365797697,1112,0.267633487145683
2254,0.179901683998693,0.414067211560867,0.117082763781087,1113,0.266974291364536
2966,0.271933169378622,0.505860658147764,0.116963744384571,1114,0.266315095583389
4371,0.258500538545691,0.49181181577744,0.116655638615875,1115,0.265655899802242
634,0.491781498035844,0.725065918809428,0.116642210386792,1116,0.264996704021095
3200,0.273105171823268,0.506303323399056,0.116599075787894,1117,0.264337508239948
170,0.664628241664642,0.897606029384079,0.116488893859719,1118,0.263678312458801
2730,0.229052666550883,0.461693615283659,0.116320474366388,1119,0.263019116677654
691,0.489993740213013,0.722107853095015,0.116057056441001,1120,0.262359920896507
1225,0.407317679920572,0.638124511905992,0.11540341599271,1121,0.26170072511536
3719,0.149686084046017,0.37844306441896,0.114378490186472,1122,0.261041529334213
2436,0.244580785205575,0.472881245323957,0.114150230059191,1123,0.260382333553066
1286,0.386889267984491,0.61517907688791,0.11414490445171,1124,0.259723137771919
2322,0.361222414560041,0.589208875378317,0.113993230409138,1125,0.259063941990772
2841,0.113960388601681,0.341751436692444,0.113895524045382,1126,0.258404746209625
968,0.312821016735967,0.540326861204045,0.113752922234039,1127,0.257745550428478
459,0.674093547791109,0.900532671104089,0.11321956165649,1128,0.257086354647331
811,0.420069310533162,0.646160395828522,0.11304554264768,1129,0.256427158866184
576,0.493281287358418,0.718842382746416,0.112780547693999,1130,0.255767963085037
2907,0.271933169378622,0.497224534066695,0.112645682344036,1131,0.25510876730389
2495,0.244580785205575,0.469410566503749,0.112414890649087,1132,0.254449571522743
987,0.413213409807124,0.63764743887445,0.112217014533663,1133,0.253790375741596
2729,0.222917057384466,0.446975869011293,0.112029405813413,1134,0.253131179960449
750,0.477645430205955,0.701684060512645,0.112019315153345,1135,0.252471984179302
575,0.491195496813521,0.714275374535143,0.111539938860811,1136,0.251812788398155
2670,0.210175744051358,0.43296796673357,0.111396111341106,1137,0.251153592617008
3083,0.273105171823268,0.495059315394084,0.110977071785408,1138,0.250494396835861
1106,0.411679386147311,0.633502592615881,0.110911603234285,1139,0.249835201054714
2554,0.244580785205575,0.465833534844075,0.11062637481925,1140,0.249176005273567
1201,0.273265882303728,0.493515788818382,0.110124953257327,1141,0.24851680949242
3024,0.271933169378622,0.491786994222123,0.10992691242175,1142,0.247857613711273
680,0.417087084720644,0.635767939640478,0.109340427459917,1143,0.247198417930126
910,0.31340701795829,0.532062846477646,0.109327914259678,1144,0.246539222148979
